CULTIVAR,CLASS,Exp,GERM,SL,RL,TL,SDM,RDM,TDM
CD 238 RR,Control,2,100,15.5,14.3,29.8,43.6,15.2,58.8
CD 238 RR,Control,3,100,20.0,14.5,34.4,43.8,14.2,58.0
CD 238 RR,Control,4,100,17.7,14.7,32.4,44.5,17.2,61.7
CD 250,Control,1,100,19.4,17.8,37.1,49.9,18.0,67.9
CD 250,Control,2,100,20.2,17.0,37.2,50.3,15.0,65.3
CD 250,Control,3,96,17.7,15.6,33.3,49.1,17.4,66.5
CD 250,Control,4,96,20.3,15.7,36.0,51.6,17.7,69.3
CG 67 RR,Control,1,76,14.9,10.2,25.1,44.5,14.9,59.4
CG 67 RR,Control,2,88,13.5,10.1,23.5,43.9,17.5,61.3
CG 67 RR,Control,3,88,13.3,10.8,24.1,44.7,16.4,61.1
CG 67 RR,Control,4,92,11.6,12.0,23.6,42.2,17.0,59.1
CG 68 RR,Control,1,92,17.7,14.3,32.0,49.8,15.7,65.5
CG 68 RR,Control,2,92,15.5,12.7,28.2,48.3,16.7,65.0
CG 68 RR,Control,3,100,18.5,16.2,34.7,51.4,15.9,67.3
CG 68 RR,Control,4,100,18.1,15.8,33.9,48.2,15.9,64.1
CG 7464 RR,Control,1,100,17.6,12.2,29.8,50.4,16.5,66.9
CG 7464 RR,Control,2,96,15.3,13.5,28.8,47.5,15.7,63.2
CG 7464 RR,Control,3,96,16.0,12.6,28.5,46.0,15.8,61.8
CG 7464 RR,Control,4,96,16.0,11.2,27.2,44.9,14.7,59.7
CG 7665 RR,Control,1,100,18.2,11.1,29.3,43.2,13.2,56.4
CG 7665 RR,Control,2,92,20.3,13.8,34.1,35.9,13.6,49.5
CG 7665 RR,Control,3,96,15.9,10.5,26.4,45.8,13.8,59.7
CG 7665 RR,Control,4,96,19.0,12.9,31.9,45.4,14.8,60.2
CG 8166 RR,Control,1,100,18.3,14.1,32.4,52.1,17.2,69.3
CG 8166 RR,Control,2,100,15.5,16.3,31.8,56.5,22.1,78.6
CG 8166 RR,Control,3,100,18.8,13.5,32.3,49.9,17.4,67.3
CG 8166 RR,Control,4,100,16.8,14.8,31.6,53.5,18.7,72.2
FPS Antares RR,Control,1,92,14.5,13.2,27.7,50.3,19.9,70.2
FPS Antares RR,Control,2,88,15.3,10.6,25.9,48.7,20.0,68.7
FPS Antares RR,Control,3,84,15.9,14.8,30.6,47.0,18.3,65.3
FPS Antares RR,Control,4,88,13.1,10.1,23.1,48.4,21.8,70.2
FPS Atalanta IPRO,Control,1,100,14.8,14.7,29.5,43.2,13.7,56.9
FPS Atalanta IPRO,Control,2,100,18.1,14.3,32.4,43.7,15.8,59.5
FPS Atalanta IPRO,Control,3,100,15.8,13.6,29.4,37.3,16.1,53.5
FPS Atalanta IPRO,Control,4,100,18.8,17.8,36.6,42.9,17.2,60.2
FPS Iguacu RR,Control,1,100,17.2,11.4,28.6,43.0,14.3,57.3
FPS Iguacu RR,Control,2,92,19.3,12.0,31.3,44.1,13.2,57.3
FPS Iguacu RR,Control,3,100,18.8,13.7,32.5,40.8,14.9,55.7
FPS Iguacu RR,Control,4,100,19.8,14.5,34.3,45.5,14.5,60.0
FPS Jupiter RR,Control,1,100,18.9,14.6,33.5,45.1,13.0,58.1
FPS Jupiter RR,Control,2,100,18.3,16.2,34.5,41.9,13.3,55.1
FPS Jupiter RR,Control,3,96,13.5,13.6,27.1,41.5,13.6,55.1
FPS Jupiter RR,Control,4,96,19.0,15.8,34.8,40.2,14.3,54.5
FPS Netuno RR,Control,1,84,12.7,14.8,27.5,37.0,16.4,53.4
FPS Netuno RR,Control,2,100,17.3,11.6,28.8,44.9,18.3,63.2
FPS Netuno RR,Control,3,92,19.8,16.2,36.0,48.4,18.3,66.7
FPS Netuno RR,Control,4,96,18.9,12.6,31.5,49.8,17.1,66.8
FPS Paranapanema RR,Control,1,100,14.1,12.8,26.9,49.3,16.1,65.4
FPS Paranapanema RR,Control,2,100,16.6,13.9,30.5,50.9,15.0,65.9
FPS Paranapanema RR,Control,3,96,16.5,13.7,30.2,48.2,15.9,64.1
FPS Paranapanema RR,Control,4,100,17.7,17.1,34.8,52.8,18.4,71.2
FPS solar IPRO,Control,1,100,17.2,11.3,28.5,47.2,18.6,65.8
FPS solar IPRO,Control,2,100,15.8,13.1,29.0,47.1,15.6,62.7
FPS solar IPRO,Control,3,92,14.4,11.6,26.0,41.7,15.2,56.9
FPS solar IPRO,Control,4,96,11.0,13.0,23.9,39.2,15.5,54.7
FPS Solimoes RR,Control,1,100,15.8,11.1,26.9,53.9,17.7,71.7
FPS Solimoes RR,Control,2,100,16.2,12.4,28.6,54.0,18.6,72.6
FPS Solimoes RR,Control,3,92,15.1,11.8,26.9,49.5,17.6,67.1
FPS Solimoes RR,Control,4,92,17.0,13.9,30.8,50.4,17.5,67.9
FPS Urano RR,Control,1,100,16.0,12.3,28.3,44.5,16.6,61.1
FPS Urano RR,Control,2,100,16.2,14.3,30.5,45.3,17.5,62.8
FPS Urano RR,Control,3,100,16.0,12.5,28.5,47.2,19.8,67.0
FPS Urano RR,Control,4,100,15.8,12.4,28.2,42.4,14.9,57.3
HO Cristalina IPRO,Control,1,84,16.7,13.1,29.8,54.5,19.2,73.7
HO Cristalina IPRO,Control,2,92,16.0,12.6,28.6,53.1,17.3,70.5
HO Cristalina IPRO,Control,3,84,17.8,13.0,30.8,47.6,14.8,62.4
HO Cristalina IPRO,Control,4,88,14.6,11.7,26.3,50.1,17.6,67.6
HO Maracai IPRO,Control,1,92,15.0,9.9,24.9,49.1,14.8,64.0
HO Maracai IPRO,Control,2,88,16.7,10.5,27.2,47.6,14.9,62.5
HO Maracai IPRO,Control,3,92,16.3,10.1,26.4,47.0,15.1,62.1
HO Maracai IPRO,Control,4,100,18.0,11.4,29.4,49.6,17.6,67.1
HO Paranaiba IPRO,Control,1,96,21.0,16.7,37.7,62.4,20.9,83.3
HO Paranaiba IPRO,Control,2,96,17.8,13.7,31.5,50.5,20.5,71.1
HO Paranaiba IPRO,Control,3,100,20.0,15.8,35.8,58.3,19.5,77.7
HO Paranaiba IPRO,Control,4,100,17.0,13.6,30.6,54.3,18.5,72.8
LG 60163 IPRO,Control,1,100,16.8,16.4,33.2,42.4,14.9,57.4
LG 60163 IPRO,Control,2,96,18.7,15.6,34.3,45.1,14.9,60.0
LG 60163 IPRO,Control,3,100,18.9,14.5,33.4,43.3,15.3,58.6
LG 60163 IPRO,Control,4,100,18.9,13.6,32.5,41.7,13.7,55.4
LG 60177 IPRO,Control,1,96,14.5,10.1,24.6,46.9,15.5,62.4
LG 60177 IPRO,Control,2,96,16.8,11.7,28.5,51.3,16.8,68.1
LG 60177 IPRO,Control,3,96,15.1,10.2,25.3,46.2,13.5,59.8
LG 60177 IPRO,Control,4,84,16.3,11.4,27.7,51.7,15.1,66.8
M5917 IPRO,Control,1,100,13.8,13.9,27.7,38.6,19.7,58.3
M5917 IPRO,Control,2,100,16.0,15.9,31.9,46.4,17.5,63.9
M5917 IPRO,Control,3,100,15.1,15.2,30.3,40.0,17.2,57.2
M5917 IPRO,Control,4,100,15.8,15.3,31.1,36.0,17.5,53.5
M7110 IPRO,Control,1,100,14.2,11.6,25.8,57.5,23.3,80.8
M7110 IPRO,Control,2,100,16.8,12.4,29.2,59.3,21.4,80.7
M7110 IPRO,Control,3,92,14.6,10.9,25.5,58.0,21.9,79.9
M7110 IPRO,Control,4,92,13.9,12.3,26.2,53.1,24.3,77.4
NS 5106 IPRO,Control,1,92,16.1,11.5,27.6,45.8,17.3,63.1
NS 5106 IPRO,Control,2,100,17.5,10.4,27.9,46.7,14.2,60.9
NS 5106 IPRO,Control,3,96,15.9,12.5,28.4,44.6,16.8,61.4
NS 5106 IPRO,Control,4,92,17.9,14.3,32.2,52.0,15.5,67.5
NS 5151 IPRO,Control,1,72,14.2,8.2,22.4,41.5,10.4,51.9
NS 5151 IPRO,Control,2,80,11.3,9.2,20.5,37.6,12.7,50.3
NS 5151 IPRO,Control,3,80,13.8,9.0,22.8,44.0,14.5,58.5
NS 5151 IPRO,Control,4,88,14.0,8.6,22.6,49.6,12.8,62.4
NS 5909 RG,Control,1,88,14.9,12.2,27.1,45.7,15.8,61.5
NS 5909 RG,Control,2,96,11.7,10.6,22.3,39.5,13.9,53.4
NS 5909 RG,Control,3,100,16.6,13.0,29.6,37.8,12.6,50.4
NS 5909 RG,Control,4,96,13.9,11.1,25.0,40.1,14.8,54.9
NS 5959 IPRO,Control,1,92,17.1,12.3,29.4,43.2,11.2,54.4
NS 5959 IPRO,Control,2,96,15.8,12.3,28.1,44.2,11.8,56.0
NS 5959 IPRO,Control,3,88,13.9,11.2,25.1,39.8,11.1,50.9
NS 5959 IPRO,Control,4,92,16.5,13.7,30.1,45.9,11.5,57.4
NS 6909 IPRO,Control,1,88,12.0,10.0,22.0,43.4,19.1,62.5
NS 6909 IPRO,Control,2,88,10.8,9.4,20.2,42.7,17.7,60.5
NS 6909 IPRO,Control,3,92,11.9,9.7,21.6,40.2,17.8,58.0
NS 6909 IPRO,Control,4,84,10.8,10.3,21.1,45.4,22.8,68.2
NS 7000 IPRO,Control,1,100,17.2,14.5,31.7,51.4,18.7,70.1
NS 7000 IPRO,Control,2,96,18.5,15.0,33.5,54.3,17.5,71.8
NS 7000 IPRO,Control,3,100,17.2,14.8,32.0,54.5,18.3,72.8
NS 7000 IPRO,Control,4,100,19.0,13.3,32.3,56.1,18.2,74.3
NS 7007 IPRO,Control,1,96,14.6,11.7,26.3,55.7,14.3,70.0
NS 7007 IPRO,Control,2,96,14.7,10.7,25.4,57.3,16.6,73.9
NS 7007 IPRO,Control,3,100,15.1,11.5,26.6,53.4,17.2,70.7
NS 7007 IPRO,Control,4,96,10.6,9.5,20.1,45.7,14.5,60.2
NS 7209 IPRO,Control,1,100,16.8,15.0,31.8,51.2,18.1,69.3
NS 7209 IPRO,Control,2,100,15.6,14.0,29.6,46.7,16.9,63.6
NS 7209 IPRO,Control,3,100,17.7,12.1,29.8,47.5,16.0,63.5
NS 7209 IPRO,Control,4,100,14.7,10.9,25.6,46.4,17.0,63.4
NS 7300 IPRO,Control,1,100,17.6,11.0,28.5,48.8,11.9,60.7
NS 7300 IPRO,Control,2,92,16.0,11.6,27.6,48.3,12.6,61.0
NS 7300 IPRO,Control,3,88,14.5,10.8,25.3,51.1,14.3,65.4
NS 7300 IPRO,Control,4,96,13.6,11.2,24.8,54.4,15.4,69.8
NS 7338 IPRO,Control,1,88,10.9,16.2,27.1,40.6,10.5,51.0
NS 7338 IPRO,Control,2,80,9.4,15.6,24.9,35.0,12.7,47.7
NS 7338 IPRO,Control,3,88,11.0,15.9,26.9,35.4,10.9,46.3
NS 7338 IPRO,Control,4,80,13.0,16.6,29.6,38.4,12.1,50.5
NS 7505 IPRO,Control,1,84,10.6,12.8,23.4,43.2,17.8,61.0
NS 7505 IPRO,Control,2,84,11.4,12.6,24.0,40.4,19.0,59.4
NS 7505 IPRO,Control,3,96,10.8,14.2,25.0,44.2,18.9,63.1
NS 7505 IPRO,Control,4,92,11.4,13.5,24.9,41.2,19.3,60.5
NS 8399 IPRO,Control,1,100,14.1,12.8,26.9,39.9,15.3,55.3
NS 8399 IPRO,Control,2,92,17.3,14.4,31.6,43.5,14.0,57.5
NS 8399 IPRO,Control,3,100,14.7,13.7,28.4,46.8,17.2,64.0
NS 8399 IPRO,Control,4,100,14.9,14.7,29.6,42.2,14.4,56.6
RK 5813 RR,Control,1,96,20.0,14.7,34.7,57.7,17.3,75.0
RK 5813 RR,Control,2,100,18.1,12.3,30.4,54.9,17.1,72.0
RK 5813 RR,Control,3,96,13.6,11.2,24.7,52.4,15.5,67.9
RK 5813 RR,Control,4,100,16.7,13.2,29.9,52.8,17.2,70.0
RK 6316 RR,Control,1,92,12.8,14.4,27.1,39.9,15.6,55.5
RK 6316 RR,Control,2,92,16.6,15.1,31.7,38.3,16.6,54.8
RK 6316 RR,Control,3,88,12.2,13.0,25.2,34.3,15.0,49.3
RK 6316 RR,Control,4,92,13.8,13.3,27.0,37.0,15.4,52.4
RK 6719 IPRO,Control,1,100,17.9,14.5,32.4,48.8,16.3,65.1
RK 6719 IPRO,Control,2,100,16.9,16.5,33.4,50.1,16.6,66.6
RK 6719 IPRO,Control,3,100,17.8,13.8,31.6,46.9,16.4,63.3
RK 6719 IPRO,Control,4,100,18.9,14.5,33.4,51.1,16.2,67.4
RK 6813 RR,Control,1,100,17.3,13.3,30.6,48.7,14.7,63.4
RK 6813 RR,Control,2,96,16.5,15.4,31.9,49.9,16.6,66.5
RK 6813 RR,Control,3,100,16.4,10.4,26.8,46.6,13.9,60.6
RK 6813 RR,Control,4,100,16.2,15.3,31.5,48.3,18.5,66.8
RK 7214 IPRO,Control,1,96,13.8,8.6,22.4,48.4,12.4,60.8
RK 7214 IPRO,Control,2,100,9.3,9.1,18.4,48.1,15.4,63.5
RK 7214 IPRO,Control,3,100,16.4,10.6,27.0,52.1,14.6,66.8
RK 7214 IPRO,Control,4,88,12.3,9.3,21.6,44.2,16.2,60.4
RK 7518 IPRO,Control,1,100,14.4,11.4,25.8,48.6,16.8,65.4
RK 7518 IPRO,Control,2,100,15.8,11.7,27.5,44.6,16.8,61.5
RK 7518 IPRO,Control,3,100,16.1,11.2,27.3,47.2,15.1,62.3
RK 7518 IPRO,Control,4,100,15.4,11.4,26.8,47.9,16.4,64.4
RK 8115 IPRO,Control,1,96,17.0,15.6,32.6,49.6,19.0,68.7
RK 8115 IPRO,Control,2,96,16.3,15.0,31.3,49.4,16.1,65.5
RK 8115 IPRO,Control,3,92,15.9,13.3,29.2,50.9,18.9,69.8
RK 8115 IPRO,Control,4,100,16.1,13.4,29.5,52.2,17.8,70.0
RK 8317 IPRO,Control,1,88,11.4,5.1,16.5,38.3,9.1,47.3
RK 8317 IPRO,Control,2,84,9.8,5.8,15.6,39.4,7.4,46.8
RK 8317 IPRO,Control,3,92,11.6,6.8,18.4,37.6,10.8,48.4
RK 8317 IPRO,Control,4,88,11.1,5.4,16.5,34.4,9.8,44.2
ST 777 IPRO,Control,1,100,17.5,14.1,31.6,35.7,7.9,43.6
ST 777 IPRO,Control,2,100,16.7,12.9,29.6,36.6,10.3,46.8
ST 777 IPRO,Control,3,100,18.2,13.0,31.2,40.6,9.5,50.0
ST 777 IPRO,Control,4,100,17.4,16.3,33.7,37.7,8.1,45.8
ST 797 IPRO,Control,1,100,13.0,13.9,26.9,50.2,14.2,64.4
ST 797 IPRO,Control,2,100,14.6,13.0,27.6,48.0,12.7,60.7
ST 797 IPRO,Control,3,100,13.9,12.0,25.9,45.7,15.1,60.8
ST 797 IPRO,Control,4,100,12.2,13.8,26.0,45.0,15.4,60.3
SYN 13610 IPRO,Control,1,92,15.8,12.3,28.1,39.7,12.7,52.4
SYN 13610 IPRO,Control,2,100,16.0,14.3,30.3,41.5,15.0,56.5
SYN 13610 IPRO,Control,3,100,17.2,14.1,31.3,42.5,13.1,55.6
SYN 13610 IPRO,Control,4,92,11.8,10.8,22.6,35.2,13.3,48.5
TMG 2165 IPRO,Control,1,100,15.4,12.0,27.4,45.1,17.5,62.7
TMG 2165 IPRO,Control,2,92,15.7,13.5,29.2,47.0,16.5,63.4
TMG 2165 IPRO,Control,3,100,14.9,11.2,26.1,47.2,15.7,63.0
TMG 2165 IPRO,Control,4,100,17.5,13.8,31.3,44.5,14.7,59.2
TMG 2378 IPRO,Control,1,92,12.1,10.4,22.5,38.6,9.1,47.7
TMG 2378 IPRO,Control,2,96,15.1,11.1,26.2,45.4,10.4,55.8
