CULTIVAR,CLASS,Exp,GERM,SL,RL,TL,SDM,RDM,TDM
BMX Desafio RR,Drought,2,96,4.4,18.8,23.2,5.9,20.8,26.8
BMX Desafio RR,Drought,3,94,3.4,17.2,20.6,5.6,19.9,25.5
BMX Desafio RR,Drought,4,88,4.6,14.1,18.7,6.6,18.6,25.2
BMX Foco IPRO,Drought,1,76,3.50,11.65,15.15,4.98,10.73,15.7
BMX Foco IPRO,Drought,2,72,4.03,12.80,16.83,6.37,9.69,16.1
BMX Foco IPRO,Drought,3,72,3.49,10.95,14.44,5.39,9.83,15.2
BMX Foco IPRO,Drought,4,76,4.63,11.30,15.93,6.89,10.88,17.8
BMX Ponta IPRO,Drought,1,88,4.2,10.6,14.8,5.9,14.3,20.2
BMX Ponta IPRO,Drought,2,92,4.6,11.7,16.3,5.6,16.4,22.0
BMX Ponta IPRO,Drought,3,88,3.8,14.4,18.2,5.5,18.8,24.3
BMX Ponta IPRO,Drought,4,92,4.9,11.9,16.8,6.4,16.9,23.3
CD 238 RR,Drought,1,88,4.3,15.4,19.7,6.4,14.3,20.6
CD 238 RR,Drought,2,92,3.7,13.6,17.3,5.3,14.4,19.7
CD 238 RR,Drought,3,84,3.8,15.7,19.5,6.0,14.5,20.5
CD 238 RR,Drought,4,92,3.9,12.2,16.1,5.9,14.2,20.0
CD 250,Drought,1,92,5.2,8.5,13.7,6.2,20.1,26.3
CD 250,Drought,2,96,5.0,10.0,15.0,6.5,16.1,22.6
CD 250,Drought,3,92,4.7,10.8,15.5,5.4,16.8,22.2
CD 250,Drought,4,96,4.9,11.6,16.5,6.1,18.6,24.7
CG 67 RR,Drought,1,100,4.1,7.9,12.0,6.3,10.6,16.9
CG 67 RR,Drought,2,100,2.9,9.5,12.4,5.8,10.6,16.4
CG 67 RR,Drought,3,96,3.3,9.0,12.3,5.9,12.6,18.5
CG 67 RR,Drought,4,100,3.6,9.2,12.8,6.0,12.4,18.4
CG 68 RR,Drought,1,80,4.2,11.2,15.4,5.6,12.8,18.3
CG 68 RR,Drought,2,80,2.7,10.6,13.3,4.1,12.7,16.8
CG 68 RR,Drought,3,80,2.7,12.0,14.7,4.8,13.9,18.7
CG 68 RR,Drought,4,84,2.7,9.8,12.5,4.5,13.8,18.3
CG 7464 RR,Drought,1,88,4.7,14.2,18.9,6.9,17.7,24.6
CG 7464 RR,Drought,2,88,4.2,12.5,16.7,6.8,15.1,21.9
CG 7464 RR,Drought,3,92,3.9,14.2,18.1,6.6,13.7,20.3
CG 7464 RR,Drought,4,88,4.4,12.8,17.2,6.9,12.2,19.1
CG 7665 RR,Drought,1,84,3.6,14.0,17.6,6.6,13.2,19.7
CG 7665 RR,Drought,2,88,3.9,18.8,22.7,7.1,14.6,21.7
CG 7665 RR,Drought,3,84,3.4,16.6,20.0,6.2,15.7,21.9
CG 7665 RR,Drought,4,80,3.3,15.7,19.0,5.4,14.7,20.1
CG 8166 RR,Drought,1,84,2.2,7.8,10.0,3.7,8.3,12.0
CG 8166 RR,Drought,2,88,2.7,8.7,11.4,3.7,10.7,14.3
CG 8166 RR,Drought,3,84,2.6,9.7,12.3,4.3,11.5,15.8
CG 8166 RR,Drought,4,88,3.5,8.8,12.3,4.6,10.2,14.8
FPS Antares RR,Drought,1,96,4.3,19.6,23.9,5.7,22.7,28.4
FPS Antares RR,Drought,2,96,4.2,16.7,20.9,5.3,24.0,29.3
FPS Antares RR,Drought,3,100,3.8,18.9,22.7,5.0,24.2,29.2
FPS Antares RR,Drought,4,100,3.9,20.1,24.0,5.3,25.7,31.0
FPS Atalanta IPRO,Drought,1,84,3.6,15.7,19.3,5.7,17.4,23.1
FPS Atalanta IPRO,Drought,2,84,3.0,15.9,18.9,5.2,16.4,21.6
FPS Atalanta IPRO,Drought,3,92,3.7,17.0,20.7,5.9,16.8,22.7
FPS Atalanta IPRO,Drought,4,92,3.4,15.6,19.0,5.8,16.6,22.4
FPS Iguacu RR,Drought,1,92,4.0,9.6,13.6,4.8,10.3,15.1
FPS Iguacu RR,Drought,2,100,4.0,8.9,12.9,5.5,13.2,18.7
FPS Iguacu RR,Drought,3,96,3.1,9.4,12.5,5.0,12.0,17.0
FPS Iguacu RR,Drought,4,92,4.2,8.9,13.1,6.2,11.7,17.9
FPS Jupiter RR,Drought,1,100,4.4,12.0,16.4,7.1,13.4,20.5
FPS Jupiter RR,Drought,2,96,4.9,13.1,18.0,7.6,13.5,21.1
FPS Jupiter RR,Drought,3,100,4.7,10.9,15.6,7.1,14.7,21.8
FPS Jupiter RR,Drought,4,96,5.0,12.8,17.8,6.4,15.3,21.7
FPS Netuno RR,Drought,1,92,4.4,9.6,14.0,6.1,10.7,16.8
FPS Netuno RR,Drought,2,100,4.1,7.9,12.0,5.4,12.6,18.0
FPS Netuno RR,Drought,3,88,3.3,10.0,13.3,5.2,13.9,19.1
FPS Netuno RR,Drought,4,92,4.0,9.0,13.0,4.8,14.3,19.1
FPS Paranapanema RR,Drought,1,82,4.3,15.0,19.3,5.2,11.9,17.2
FPS Paranapanema RR,Drought,2,98,3.6,14.4,18.0,5.4,18.3,23.7
FPS Paranapanema RR,Drought,3,96,3.7,15.7,19.4,6.4,19.5,25.8
FPS Paranapanema RR,Drought,4,92,4.6,12.5,17.1,5.9,15.2,21.1
FPS solar IPRO,Drought,1,88,4.0,15.1,19.1,6.3,16.7,23.1
FPS solar IPRO,Drought,2,96,4.1,14.0,18.1,6.8,15.6,22.3
FPS solar IPRO,Drought,3,92,3.6,19.2,22.8,6.6,18.5,25.1
FPS solar IPRO,Drought,4,96,4.3,18.8,23.1,7.7,17.0,24.6
FPS Solimoes RR,Drought,1,92,6.4,17.4,23.8,8.5,24.5,33.0
FPS Solimoes RR,Drought,2,92,5.2,18.6,23.8,8.3,21.9,30.2
FPS Solimoes RR,Drought,3,94,4.7,18.5,23.2,7.3,24.2,31.4
FPS Solimoes RR,Drought,4,88,4.6,20.3,24.9,8.7,24.6,33.3
FPS Urano RR,Drought,1,88,2.8,17.8,20.6,3.4,20.2,23.5
FPS Urano RR,Drought,2,92,3.1,18.1,21.2,3.5,20.1,23.6
FPS Urano RR,Drought,3,88,2.5,15.7,18.2,4.8,15.9,20.7
FPS Urano RR,Drought,4,84,3.2,17.6,20.8,4.7,20.7,25.4
HO Cristalina IPRO,Drought,1,88,3.23,11.05,14.28,5.92,14.96,20.9
HO Cristalina IPRO,Drought,2,88,3.76,13.05,16.81,6.11,15.30,21.4
HO Cristalina IPRO,Drought,3,88,3.76,13.55,17.31,6.67,15.41,22.1
HO Cristalina IPRO,Drought,4,77,2.69,14.65,17.34,4.51,15.01,19.5
HO Maracai IPRO,Drought,1,80,2.96,13.35,16.31,7.61,16.43,24.0
HO Maracai IPRO,Drought,2,76,3.23,12.90,16.13,7.15,17.66,24.8
HO Maracai IPRO,Drought,3,84,3.49,13.80,17.29,6.49,15.64,22.1
HO Maracai IPRO,Drought,4,76,2.99,13.44,16.43,6.37,19.56,25.9
HO Paranaiba IPRO,Drought,1,84,2.96,11.60,14.56,4.62,16.40,21.0
HO Paranaiba IPRO,Drought,2,84,2.96,12.60,15.56,6.68,16.71,23.4
HO Paranaiba IPRO,Drought,3,88,2.96,13.20,16.16,4.25,17.64,21.9
HO Paranaiba IPRO,Drought,4,88,3.76,14.50,18.26,5.98,17.41,23.4
LG 60163 IPRO,Drought,1,88,4.0,13.0,17.0,7.0,13.2,20.2
LG 60163 IPRO,Drought,2,96,3.7,14.9,18.6,6.8,13.2,20.0
LG 60163 IPRO,Drought,3,92,3.6,14.2,17.8,7.0,16.0,23.0
LG 60163 IPRO,Drought,4,92,3.2,13.7,16.8,5.9,14.8,20.7
LG 60177 IPRO,Drought,1,100,5.4,18.2,23.6,5.9,19.3,25.3
LG 60177 IPRO,Drought,2,92,5.0,20.5,25.5,6.5,19.8,26.3
LG 60177 IPRO,Drought,3,92,5.1,17.1,22.2,7.2,17.1,24.3
LG 60177 IPRO,Drought,4,92,4.9,18.6,23.5,6.1,19.2,25.3
M5917 IPRO,Drought,1,80,2.69,13.00,15.69,7.67,14.03,21.7
M5917 IPRO,Drought,2,84,2.38,12.70,15.08,5.28,15.18,20.5
M5917 IPRO,Drought,3,76,2.15,14.00,16.15,6.66,15.22,21.9
M5917 IPRO,Drought,4,80,2.69,15.30,17.99,7.90,16.92,24.8
M7110 IPRO,Drought,1,96,3.8,8.2,12.0,4.8,17.7,22.5
M7110 IPRO,Drought,2,92,3.6,8.3,11.9,5.0,16.7,21.7
M7110 IPRO,Drought,3,96,3.2,8.0,11.2,4.7,19.2,23.9
M7110 IPRO,Drought,4,88,3.6,9.0,12.6,5.4,18.2,23.6
NS 5106 IPRO,Drought,1,84,2.0,7.7,9.7,4.1,19.2,23.3
NS 5106 IPRO,Drought,2,72,2.0,7.9,9.9,3.9,16.1,19.9
NS 5106 IPRO,Drought,3,84,2.5,7.8,10.3,4.5,17.9,22.4
NS 5106 IPRO,Drought,4,76,2.0,8.0,10.0,4.4,17.4,21.8
NS 5151 IPRO,Drought,1,92,4.7,16.4,21.1,6.4,26.1,32.5
NS 5151 IPRO,Drought,2,88,3.2,19.6,22.8,7.7,22.0,29.7
NS 5151 IPRO,Drought,3,96,4.2,20.7,24.9,6.2,26.6,32.8
NS 5151 IPRO,Drought,4,92,5.8,19.6,25.4,7.9,23.1,31.0
NS 5909 RG,Drought,1,72,3.1,12.8,15.9,4.5,15.0,19.5
NS 5909 RG,Drought,2,60,3.7,15.2,18.9,5.2,17.3,22.5
NS 5909 RG,Drought,3,72,3.1,12.8,15.9,4.3,18.5,22.7
NS 5909 RG,Drought,4,64,3.8,12.2,16.0,5.0,17.4,22.4
NS 5959 IPRO,Drought,1,92,3.7,8.0,11.7,4.5,16.5,21.0
NS 5959 IPRO,Drought,2,96,3.8,7.3,11.1,4.6,15.7,20.3
NS 5959 IPRO,Drought,3,96,4.1,9.6,13.7,4.2,17.1,21.3
NS 5959 IPRO,Drought,4,88,4.2,8.6,12.8,5.4,18.6,24.0
NS 6909 IPRO,Drought,1,88,4.9,13.3,18.2,6.6,17.0,23.6
NS 6909 IPRO,Drought,2,92,5.0,13.1,18.1,7.1,16.2,23.3
NS 6909 IPRO,Drought,3,86,5.4,14.6,20.0,7.0,13.6,20.6
NS 6909 IPRO,Drought,4,92,5.7,16.1,21.8,8.2,16.5,24.7
NS 7000 IPRO,Drought,1,72,4.0,17.1,21.1,6.3,26.8,33.1
NS 7000 IPRO,Drought,2,68,4.1,16.2,20.3,6.0,25.3,31.3
NS 7000 IPRO,Drought,3,72,2.8,15.6,18.4,5.8,24.2,30.0
NS 7000 IPRO,Drought,4,64,2.7,18.1,20.8,6.8,22.1,28.9
NS 7007 IPRO,Drought,1,88,2.69,13.00,15.69,5.14,14.42,19.6
NS 7007 IPRO,Drought,2,88,2.69,12.00,14.69,5.63,14.37,20.0
NS 7007 IPRO,Drought,3,84,2.69,10.50,13.19,6.66,14.59,21.3
NS 7007 IPRO,Drought,4,80,2.69,12.55,15.24,7.91,13.99,21.9
NS 7209 IPRO,Drought,1,84,3.5,12.2,15.7,4.7,17.3,22.0
NS 7209 IPRO,Drought,2,76,4.4,12.1,16.5,5.4,20.4,25.8
NS 7209 IPRO,Drought,3,84,3.2,15.8,19.0,4.6,19.5,24.1
NS 7209 IPRO,Drought,4,72,3.4,10.9,14.3,4.4,15.8,20.3
NS 7300 IPRO,Drought,1,96,4.4,22.4,26.8,6.3,18.3,24.6
NS 7300 IPRO,Drought,2,96,4.3,19.4,23.7,6.5,17.4,23.9
NS 7300 IPRO,Drought,3,96,4.2,20.0,24.2,5.8,20.6,26.4
NS 7300 IPRO,Drought,4,92,4.0,17.4,21.4,5.4,19.8,25.2
NS 7338 IPRO,Drought,1,80,4.9,12.8,17.7,6.7,22.3,29.0
NS 7338 IPRO,Drought,2,88,4.8,14.0,18.8,8.1,21.5,29.5
NS 7338 IPRO,Drought,3,84,4.7,12.2,16.9,7.2,21.3,28.5
NS 7338 IPRO,Drought,4,80,4.6,15.0,19.6,6.5,24.0,30.5
NS 7505 IPRO,Drought,1,76,2.80,12.00,14.80,2.91,8.28,11.2
NS 7505 IPRO,Drought,2,72,2.69,15.00,17.69,5.14,10.28,15.4
NS 7505 IPRO,Drought,3,76,2.69,14.00,16.69,4.72,13.90,18.6
NS 7505 IPRO,Drought,4,80,2.69,14.90,17.59,4.90,9.80,14.7
NS 8399 IPRO,Drought,1,84,1.88,11.10,12.98,4.12,10.22,14.3
NS 8399 IPRO,Drought,2,76,2.69,10.00,12.69,5.39,11.00,16.4
NS 8399 IPRO,Drought,3,80,2.69,11.40,14.09,5.26,11.51,16.8
NS 8399 IPRO,Drought,4,76,2.42,10.20,12.62,5.14,10.58,15.7
RK 5813 RR,Drought,1,92,4.0,16.6,20.6,6.2,18.3,24.6
RK 5813 RR,Drought,2,88,2.5,15.5,18.0,5.7,21.7,27.5
RK 5813 RR,Drought,3,94,4.0,15.0,19.0,6.3,19.1,25.4
RK 5813 RR,Drought,4,92,4.7,14.3,19.0,7.0,21.8,28.8
RK 6316 RR,Drought,1,86,2.9,7.2,10.1,4.2,13.1,17.2
RK 6316 RR,Drought,2,92,2.3,9.7,12.0,3.3,15.2,18.5
RK 6316 RR,Drought,3,88,2.3,7.7,10.0,3.5,14.1,17.6
RK 6316 RR,Drought,4,88,2.9,9.3,12.2,3.6,15.7,19.3
RK 6719 IPRO,Drought,1,88,2.42,15.20,17.62,4.54,16.08,20.6
RK 6719 IPRO,Drought,2,84,2.42,17.00,19.42,4.06,16.80,20.9
RK 6719 IPRO,Drought,3,92,2.15,18.20,20.35,4.78,17.95,22.7
RK 6719 IPRO,Drought,4,88,2.42,16.30,18.72,5.86,16.60,22.5
RK 6813 RR,Drought,1,88,5.3,13.7,19.0,6.5,16.9,23.4
RK 6813 RR,Drought,2,94,4.3,16.5,20.8,6.0,16.0,22.0
RK 6813 RR,Drought,3,96,3.9,13.8,17.7,6.0,15.9,21.9
RK 6813 RR,Drought,4,96,5.3,16.0,21.3,8.0,15.1,23.0
RK 7214 IPRO,Drought,1,80,4.2,10.4,14.6,6.1,14.1,20.2
RK 7214 IPRO,Drought,2,78,4.0,10.7,14.7,6.7,14.3,20.9
RK 7214 IPRO,Drought,3,78,3.3,10.3,13.6,5.9,11.8,17.7
RK 7214 IPRO,Drought,4,78,3.9,11.6,15.5,5.5,15.1,20.6
RK 7518 IPRO,Drought,1,88,2.69,13.90,16.59,4.81,18.29,23.1
RK 7518 IPRO,Drought,2,88,2.42,15.60,18.02,5.65,17.82,23.5
RK 7518 IPRO,Drought,3,84,2.69,14.60,17.29,5.24,18.20,23.4
RK 7518 IPRO,Drought,4,84,2.69,15.00,17.69,5.62,20.60,26.2
RK 8115 IPRO,Drought,1,88,3.23,12.00,15.23,6.47,19.35,25.8
RK 8115 IPRO,Drought,2,88,2.42,11.40,13.82,5.47,19.38,24.9
RK 8115 IPRO,Drought,3,80,2.69,11.30,13.99,6.29,17.89,24.2
RK 8115 IPRO,Drought,4,84,2.69,10.70,13.39,5.30,19.41,24.7
RK 8317 IPRO,Drought,1,76,1.79,10.33,12.13,6.10,13.27,19.4
RK 8317 IPRO,Drought,2,84,2.69,12.00,14.69,5.94,14.70,20.6
RK 8317 IPRO,Drought,3,84,2.35,10.00,12.35,6.26,13.75,20.0
RK 8317 IPRO,Drought,4,88,2.69,11.60,14.29,4.25,13.82,18.1
ST 777 IPRO,Drought,1,92,7.79,16.80,24.59,7.13,13.81,20.9
ST 777 IPRO,Drought,2,88,5.64,14.80,20.44,6.08,13.40,19.5
ST 777 IPRO,Drought,3,88,5.20,15.50,20.70,5.74,15.74,21.5
ST 777 IPRO,Drought,4,92,5.73,16.20,21.93,5.23,13.79,19.0
ST 797 IPRO,Drought,1,84,4.03,14.05,18.08,5.54,12.50,18.0
ST 797 IPRO,Drought,2,88,3.76,13.45,17.21,4.96,12.32,17.3
ST 797 IPRO,Drought,3,84,3.76,12.70,16.46,5.90,12.10,18.0
ST 797 IPRO,Drought,4,84,4.03,12.10,16.13,4.80,12.83,17.6
SYN 13610 IPRO,Drought,1,90,4.6,10.9,15.5,6.6,21.2,27.8
SYN 13610 IPRO,Drought,2,88,4.0,7.0,11.0,5.6,20.9,26.5
SYN 13610 IPRO,Drought,3,88,4.7,9.8,14.5,6.0,18.5,24.5
SYN 13610 IPRO,Drought,4,84,4.0,8.3,12.3,5.6,18.3,23.9
TMG 2165 IPRO,Drought,1,92,2.50,14.60,17.10,6.98,16.39,23.4
TMG 2165 IPRO,Drought,2,92,2.39,13.33,15.72,7.16,18.06,25.2
TMG 2165 IPRO,Drought,3,92,2.02,15.13,17.14,5.70,18.93,24.6
TMG 2165 IPRO,Drought,4,92,3.23,16.10,19.33,6.59,18.15,24.7
TMG 2378 IPRO,Drought,1,88,1.88,13.30,15.18,3.78,12.58,16.4
TMG 2378 IPRO,Drought,2,92,1.61,13.70,15.31,2.93,13.21,16.1
TMG 2378 IPRO,Drought,3,92,1.61,14.00,15.61,3.42,13.80,17.2
TMG 2378 IPRO,Drought,4,92,1.34,12.40,13.74,3.28,12.10,15.4
TMG 2381 IPRO,Drought,1,92,2.69,15.00,17.69,7.25,18.04,25.3
TMG 2381 IPRO,Drought,2,88,2.45,14.80,17.25,6.90,13.18,20.1
TMG 2381 IPRO,Drought,3,84,2.42,12.60,15.02,6.34,15.80,22.1
TMG 2381 IPRO,Drought,4,92,2.69,13.30,15.99,6.37,16.21,22.6
TMG 7061 IPRO,Drought,1,88,2.15,16.50,18.65,4.49,23.85,28.3
TMG 7061 IPRO,Drought,2,92,2.96,14.95,17.91,6.17,22.19,28.4
TMG 7061 IPRO,Drought,3,92,2.69,13.30,15.99,6.43,21.87,28.3
TMG 7061 IPRO,Drought,4,84,2.96,14.10,17.06,6.44,21.87,28.3
TMG 7063 IPRO,Drought,1,84,9.25,14.33,23.58,7.37,18.46,25.8
TMG 7063 IPRO,Drought,2,80,6.00,12.67,18.67,6.59,17.52,24.1
TMG 7063 IPRO,Drought,3,80,6.25,14.00,20.25,7.08,16.86,23.9
TMG 7063 IPRO,Drought,4,84,9.00,13.00,22.00,5.71,19.36,25.1
TMG 7067 IPRO,Drought,1,92,1.61,12.20,13.81,5.35,20.44,25.8
TMG 7067 IPRO,Drought,2,88,1.92,13.86,15.78,5.13,21.27,26.4
TMG 7067 IPRO,Drought,3,88,2.39,12.70,15.09,5.17,21.92,27.1
TMG 7067 IPRO,Drought,4,84,2.39,13.22,15.61,5.40,20.78,26.2
TMG 716 RR,Drought,1,88,5.0,16.6,21.6,7.1,20.7,27.8
TMG 716 RR,Drought,2,92,4.1,17.0,21.1,6.2,23.8,30.0
TMG 716 RR,Drought,3,92,4.7,20.4,25.1,6.7,23.8,30.5
TMG 716 RR,Drought,4,96,4.4,16.0,20.4,6.6,20.6,27.1
5D 615 RR,Saline,1,100,6.9,5.7,12.6,33.1,15.5,48.6
5D 615 RR,Saline,2,92,7.2,7.4,14.6,29.8,16.0,45.8
5D 615 RR,Saline,3,96,8.9,5.8,14.7,32.5,16.1,48.5
5D 615 RR,Saline,4,100,7.5,6.1,13.6,31.3,14.9,46.2
5D 6215 IPRO,Saline,1,92,9.1,7.3,16.4,34.1,15.6,49.7
5D 6215 IPRO,Saline,2,92,9.5,8.3,17.7,32.7,15.9,48.6
5D 6215 IPRO,Saline,3,92,10.3,8.5,18.8,32.4,17.2,49.5
5D 6215 IPRO,Saline,4,96,9.5,8.3,17.8,29.8,15.1,44.8
5D 690 RR,Saline,1,68,6.1,9.0,15.1,29.9,14.6,44.5
5D 690 RR,Saline,2,68,7.0,9.6,16.6,31.0,15.5,46.5
5D 690 RR,Saline,3,72,6.9,8.7,15.5,32.1,15.0,47.1
5D 690 RR,Saline,4,60,5.7,7.8,13.5,29.0,14.3,43.3
5G 770 RR,Saline,1,72,5.9,8.9,14.8,26.9,12.2,39.1
5G 770 RR,Saline,2,88,6.7,10.3,17.0,25.3,13.8,39.1
5G 770 RR,Saline,3,92,6.0,10.4,16.4,24.7,15.2,39.9
5G 770 RR,Saline,4,76,6.5,9.5,16.0,23.8,13.6,37.4
5G 830 RR,Saline,1,88,7.9,5.3,13.2,30.5,12.8,43.3
5G 830 RR,Saline,2,96,8.5,5.5,13.9,30.5,11.7,42.2
5G 830 RR,Saline,3,92,8.9,6.5,15.4,31.5,13.7,45.2
5G 830 RR,Saline,4,100,7.9,6.1,14.0,30.8,13.0,43.8
95R51,Saline,1,48,6.5,5.8,12.3,33.5,15.2,48.7
95R51,Saline,2,64,7.9,8.2,16.0,31.3,11.5,42.8
95R51,Saline,3,52,6.7,8.5,15.1,30.3,13.3,43.6
95R51,Saline,4,56,6.6,6.5,13.1,29.2,12.8,42.1
97R21,Saline,1,84,7.3,7.6,14.9,26.7,13.8,40.5
97R21,Saline,2,60,6.1,7.1,13.1,26.7,14.6,41.3
97R21,Saline,3,84,8.0,8.9,16.9,29.5,13.8,43.3
97R21,Saline,4,76,7.0,6.9,13.9,25.2,14.2,39.4
97R50 IPRO,Saline,1,92,8.1,9.3,17.4,37.5,22.1,59.6
97R50 IPRO,Saline,2,88,9.5,12.7,22.1,30.6,21.2,51.7
97R50 IPRO,Saline,3,92,9.8,12.4,22.2,38.1,25.8,63.9
97R50 IPRO,Saline,4,92,10.6,10.9,21.4,38.2,19.8,58.0
97R73 RR,Saline,1,96,6.8,7.7,14.5,28.9,16.6,45.5
97R73 RR,Saline,2,100,7.9,9.6,17.6,28.0,18.6,46.6
97R73 RR,Saline,3,96,6.8,8.9,15.6,30.0,18.9,48.9
97R73 RR,Saline,4,96,7.0,8.0,15.0,26.9,17.8,44.8
98R31 IPRO,Saline,1,96,8.4,10.6,18.9,37.6,17.9,55.5
98R31 IPRO,Saline,2,88,9.0,12.6,21.5,42.7,20.8,63.4
98R31 IPRO,Saline,3,96,9.7,12.6,22.3,39.5,21.0,60.5
98R31 IPRO,Saline,4,92,9.9,10.0,19.9,40.1,17.8,57.9
98R35 IPRO,Saline,1,84,8.1,8.3,16.4,35.6,19.9,55.5
98R35 IPRO,Saline,2,88,6.9,9.4,16.2,30.9,17.1,48.0
98R35 IPRO,Saline,3,88,7.2,9.0,16.2,34.2,16.4,50.6
98R35 IPRO,Saline,4,92,7.9,12.2,20.1,36.3,14.9,51.2
AS 3575 IPRO,Saline,1,72,5.6,6.1,11.7,25.4,11.8,37.2
AS 3575 IPRO,Saline,2,84,6.3,5.2,11.5,28.2,13.6,41.7
AS 3575 IPRO,Saline,3,88,5.0,5.6,10.6,26.1,11.9,38.0
AS 3575 IPRO,Saline,4,96,4.8,4.7,9.4,24.5,12.2,36.7
AS 3610 IPRO,Saline,1,88,8.5,7.7,16.2,30.7,15.2,45.8
AS 3610 IPRO,Saline,2,96,9.8,9.6,19.4,34.2,19.0,53.1
AS 3610 IPRO,Saline,3,96,9.0,8.3,17.2,34.2,18.3,52.5
AS 3610 IPRO,Saline,4,88,7.3,7.0,14.2,30.2,15.4,45.6
BMX Bonus IPRO,Saline,1,88,7.4,8.3,15.7,38.9,15.5,54.4
BMX Bonus IPRO,Saline,2,88,6.4,8.8,15.2,37.9,16.3,54.3
BMX Bonus IPRO,Saline,3,84,8.1,9.5,17.6,40.0,17.3,57.4
BMX Bonus IPRO,Saline,4,88,8.5,9.4,17.9,39.3,16.4,55.7
BMX Desafio RR,Saline,1,100,10.5,10.4,20.9,36.2,15.1,51.3
BMX Desafio RR,Saline,2,96,9.5,11.3,20.8,34.7,15.4,50.1
BMX Desafio RR,Saline,3,96,11.8,13.5,25.3,38.2,18.4,56.6
BMX Desafio RR,Saline,4,96,11.3,14.9,26.2,38.0,15.8,53.8
BMX Foco IPRO,Saline,1,72,4.6,5.0,9.6,21.7,9.0,30.7
BMX Foco IPRO,Saline,2,72,4.1,4.7,8.8,19.9,8.2,28.1
BMX Foco IPRO,Saline,3,76,4.6,4.8,9.4,20.4,9.1,29.5
BMX Foco IPRO,Saline,4,72,4.6,4.0,8.6,18.4,8.1,26.5
BMX Ponta IPRO,Saline,1,96,9.6,11.8,21.4,36.5,17.5,54.0
BMX Ponta IPRO,Saline,2,88,9.5,11.1,20.6,40.3,15.4,55.6
BMX Ponta IPRO,Saline,3,100,11.5,10.9,22.4,39.0,16.1,55.1
BMX Ponta IPRO,Saline,4,92,7.8,10.1,17.9,33.6,14.3,47.9
CD 238 RR,Saline,1,88,7.6,5.9,13.5,31.1,11.0,42.1
CD 238 RR,Saline,2,84,9.2,7.4,16.6,33.4,11.6,45.0
CD 238 RR,Saline,3,84,9.0,6.4,15.4,27.8,11.3,39.1
CD 238 RR,Saline,4,78,7.3,6.2,13.5,29.4,13.2,42.6
CD 250,Saline,1,92,6.3,6.2,12.5,25.4,12.7,38.1
CD 250,Saline,2,100,8.0,6.3,14.3,26.5,12.3,38.7
CD 250,Saline,3,96,8.2,6.1,14.3,27.8,13.9,41.6
CD 250,Saline,4,84,6.5,5.6,12.1,23.3,13.7,37.0
CG 67 RR,Saline,1,92,5.9,5.0,10.9,23.9,10.6,34.4
CG 67 RR,Saline,2,96,7.2,5.3,12.5,28.4,11.9,40.3
CG 67 RR,Saline,3,92,6.5,6.5,13.0,29.3,13.2,42.5
CG 67 RR,Saline,4,84,5.7,4.8,10.5,24.3,10.1,34.4
CG 68 RR,Saline,1,72,6.3,8.0,14.2,28.7,13.4,42.1
CG 68 RR,Saline,2,92,7.1,8.8,15.9,29.5,13.7,43.2
CG 68 RR,Saline,3,80,7.7,8.5,16.2,26.8,14.6,41.4
CG 68 RR,Saline,4,64,6.5,8.9,15.4,28.1,13.3,41.4
CG 7464 RR,Saline,1,76,7.4,7.9,15.3,32.0,17.9,50.0
CG 7464 RR,Saline,2,84,9.2,7.3,16.5,34.2,16.9,51.1
CG 7464 RR,Saline,3,84,8.2,8.5,16.7,30.8,15.7,46.5
CG 7464 RR,Saline,4,80,7.4,6.8,14.2,30.7,16.3,47.0
CG 7665 RR,Saline,1,80,6.1,6.4,12.5,28.0,10.3,38.3
CG 7665 RR,Saline,2,76,7.0,7.1,14.1,29.0,11.7,40.7
CG 7665 RR,Saline,3,68,6.2,6.4,12.6,27.1,11.6,38.6
CG 7665 RR,Saline,4,72,6.0,5.1,11.1,26.2,9.5,35.7
CG 8166 RR,Saline,1,72,5.7,3.6,9.3,21.1,8.1,29.3
CG 8166 RR,Saline,2,76,6.2,3.8,9.9,22.4,10.1,32.5
CG 8166 RR,Saline,3,68,7.0,5.2,12.1,24.8,12.3,37.0
CG 8166 RR,Saline,4,92,5.5,4.2,9.7,21.8,9.4,31.2
FPS Antares RR,Saline,1,96,8.0,8.0,16.0,34.2,16.0,50.3
FPS Antares RR,Saline,2,96,7.8,7.2,15.0,34.6,18.4,53.0
FPS Antares RR,Saline,3,92,7.6,6.6,14.2,30.0,15.6,45.6
FPS Antares RR,Saline,4,88,5.7,7.5,13.2,28.6,15.6,44.2
FPS Atalanta IPRO,Saline,1,84,7.1,6.8,13.9,26.9,14.5,41.4
FPS Atalanta IPRO,Saline,2,80,5.8,6.6,12.4,26.2,14.8,41.0
FPS Atalanta IPRO,Saline,3,76,6.3,7.3,13.6,29.5,14.5,43.9
FPS Atalanta IPRO,Saline,4,68,5.7,5.9,11.6,24.5,13.5,38.0
FPS Iguacu RR,Saline,1,92,6.7,4.3,11.0,29.9,12.3,42.2
FPS Iguacu RR,Saline,2,84,8.7,5.5,14.2,29.6,14.4,44.0
FPS Iguacu RR,Saline,3,96,8.9,6.0,14.8,26.1,15.0,41.1
FPS Iguacu RR,Saline,4,84,7.6,5.1,12.7,26.6,14.1,40.6
FPS Jupiter RR,Saline,1,84,6.5,5.7,12.2,26.9,10.8,37.7
